Type,Method,task_math,task_law,task_euro,avg_score,norm_score
3task,TA,0.9354,0.613571429,0.787,0.778657143,0.9116
3task,TIES,0.9548,0.611428571,0.822666667,0.7963,0.9307
3task,DARE,0.9457,0.617857143,0.813,0.7922,0.927
3task,ModularEvo,0.9389,0.647142857,0.813333333,0.7998,0.9375

Type,Method,task_math,task_law,task_euro,task_code,avg_score,norm_score
4task,TA,0.8577,0.5878,0.6947,0.5938,0.6835,0.823
4task,TIES,0.8553,0.6542,0.68,0.5505,0.685,0.8461
4task,DARE,0.8515,0.6742,0.6683,0.6116,0.7014,0.8265
4task,ModularEvo,0.8923,0.6671,0.834,0.4242,0.7044,0.8597
